mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,spec_centroid_mean,spec_centroid_std,spec_rolloff_mean,spec_rolloff_std,spec_bandwidth_mean,spec_bandwidth_std,zcr_mean,zcr_std,chroma_0_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,pitch_mean,pitch_std,rms_mean,rms_std,spec_contrast_mean,spec_contrast_std,duration,tempo,spec_flatness_mean,file_name,label,category
-369.3034,131.48302,51.359123,99.14027,-13.801449,76.52975,0.6746314,62.80314,3.9332755,40.623856,-5.317543,43.78506,-9.151737,29.106424,-8.293398,25.116976,-6.5075364,25.045252,5.6294713,26.465271,-9.723246,14.571793,-1.8626958,14.522309,2.6237948,12.120537,1513.720330443737,1284.1274832902639,2150.3586065573772,1788.8701864709972,866.0934364630805,501.54916363766336,0.14778912653688525,0.13835473047698235,0.22160506,0.32686576,0.22510365,0.1662395,0.2747784,0.39260292,0.51256686,0.26642647,0.16906892,0.22208917,0.35375303,0.26216072,1813.4662,1221.2587,0.10174908,0.09496525,26.565568368533018,12.327302947629335,1.92,48.07692307692308,0.0010909587,OAF_back_neutral.wav,1,depressed
-355.6172,111.77528,60.972343,102.33826,11.974616,54.871037,1.5570229,35.829746,2.865226,30.762104,-9.942075,43.8957,-18.42378,31.754644,-18.507532,29.75022,-17.481445,24.674307,-7.4505754,25.422792,-6.589556,15.424248,-3.9209685,12.069215,2.0391643,11.126571,1326.3290037292043,1563.3704220883026,2008.59375,2037.2465358819904,854.5936956196025,489.3028692391559,0.11496930803571428,0.16989382428861102,0.1904633,0.1605853,0.18174061,0.19931138,0.23413806,0.33028904,0.27821553,0.27978456,0.27654207,0.33504725,0.19091628,0.106979966,1294.8706,1163.2576,0.11598699,0.09214476,26.25779297363692,12.326234701859097,2.208,38.265306122448976,0.0006451601,OAF_back_sad.wav,1,depressed
-406.87567,91.581345,37.155853,87.7738,-11.978257,62.4743,-4.1580977,67.448845,-2.7918954,34.519875,-1.8963679,44.275677,-8.094089,29.05191,-9.782165,20.733,-7.1337547,30.111235,-3.498575,21.253693,-0.94387096,27.35506,-1.8241518,12.9223,-2.504004,16.359276,1660.198791279304,1334.7238700405876,2409.2955508474574,1916.7653850063916,926.1815094497207,547.2855549007777,0.1739853681144068,0.1399972251923634,0.1776352,0.26458585,0.2765023,0.08715836,0.19030266,0.20111904,0.31531605,0.5874808,0.31695166,0.12647186,0.16501291,0.19976023,1745.3646,1260.586,0.06804406,0.07242023,29.693615504802754,10.574067345429093,1.874,46.875,0.00082165044,OAF_bar_neutral.wav,1,depressed
-362.73822,99.06261,57.033745,120.33325,17.02503,44.083874,3.1372113,41.65679,-0.96062523,40.00752,-7.556037,37.0021,-18.644571,32.085117,-20.851555,28.665384,-15.607191,21.638096,-11.340847,18.431604,-5.4013777,19.421497,-5.098377,16.233582,0.40494695,12.476623,1396.4250260068357,1609.5020116147352,2185.2525684931506,2160.215605703473,841.3646758609647,536.2571264701228,0.12156196489726027,0.1779302711772638,0.17020488,0.23837367,0.28377262,0.26960108,0.26645625,0.3560299,0.2806074,0.24903405,0.2937954,0.33010623,0.309716,0.20546684,1213.8447,1117.9684,0.11242196,0.08918674,27.44918225948949,12.836583799987917,2.304,110.29411764705883,0.029971547,OAF_bar_sad.wav,1,depressed
-373.83362,104.01511,22.010647,83.77682,-8.848082,68.664246,5.395193,62.01251,-1.9102616,45.76247,-1.4201257,59.63365,-8.435869,33.43969,-7.9360876,28.386707,-10.698046,27.894855,-2.7445884,14.21473,-0.88480926,18.01286,-0.70236593,13.665998,5.463007,13.7790575,2075.3344693021277,1581.7313994109456,2943.359375,2186.1947661500776,979.8427459476133,586.2712963931558,0.21112823486328125,0.16835447019233185,0.31223533,0.37916666,0.35880515,0.22555722,0.13537917,0.24948567,0.24878529,0.4042706,0.32450393,0.16242218,0.14253345,0.2538568,2362.4243,1318.3679,0.09479864,0.08102574,27.697286083780455,12.11622799058015,2.016,44.642857142857146,0.0020975522,OAF_base_neutral.wav,1,depressed
-367.2593,90.07233,59.988937,76.804886,20.77819,41.41763,11.983354,50.250057,1.7667658,31.40567,-12.041502,44.636158,-25.422274,28.420946,-17.53188,26.596327,-14.744259,23.04765,-11.350021,17.636065,-7.9383163,13.009767,-5.342333,11.11968,-1.9136015,16.435669,1218.29701774335,1303.8950676216996,1940.212673611111,1887.3760391959872,961.4810526257144,594.614232175778,0.10276963975694445,0.12440622478285175,0.15247886,0.12210332,0.1280114,0.17397362,0.21872993,0.1936123,0.34057558,0.27614158,0.21458909,0.30580288,0.34056032,0.22126704,1705.26,1510.12,0.10601895,0.07849292,27.41055273407604,11.193440974840936,2.272,35.37735849056604,0.0015142281,OAF_base_sad.wav,1,depressed
-359.23972,116.793526,41.052727,94.214966,-20.21823,77.44625,-7.471087,51.319283,1.6827949,35.382496,-4.8448358,43.66698,-9.532799,27.738012,-4.6852794,21.44009,-5.072772,16.264038,1.6241692,23.260902,-4.3078127,14.71176,-4.486642,15.287482,2.1788726,17.133774,1685.0427758827407,1448.8638005954147,2394.595286885246,2099.158252718154,900.3576828906438,520.1640923748757,0.1759893698770492,0.16083071811386546,0.26357168,0.39152738,0.24294293,0.21617402,0.22264896,0.33939102,0.5112503,0.3154317,0.19651055,0.2447769,0.3110508,0.24946363,1944.5055,1241.4005,0.097636156,0.10357953,25.831846150475087,11.833008439751092,1.92,46.875,0.0018004819,OAF_bath_neutral.wav,1,depressed
-389.14856,124.740074,62.591396,100.60146,12.339188,50.84494,4.688775,35.60679,5.532566,24.495047,-8.60205,38.17232,-15.095392,25.908878,-16.456486,24.206549,-13.0585785,21.68317,-7.83742,28.637878,-6.488526,16.188032,-8.2589855,12.771826,0.064975634,12.5680685,1470.738964704857,1766.5477423695697,2042.3092532467533,2255.252703779206,925.0375655842616,578.0830339205335,0.14099279626623376,0.1973976050776857,0.19570996,0.14231756,0.15036929,0.1961038,0.29570615,0.37358922,0.42696327,0.41914883,0.3135654,0.22818188,0.17129262,0.17771259,1342.5605,1173.7611,0.08790276,0.079602435,25.49586922342509,12.098597456742503,2.432,37.5,0.0018030808,OAF_bath_sad.wav,1,depressed
-378.45728,104.23715,22.131325,75.99118,-13.470729,70.936874,8.957443,75.2122,-0.4120217,43.12281,-1.7784305,40.069874,0.07222997,37.014645,-10.540016,23.82058,-6.7619934,21.067654,-6.529254,18.514498,-7.121769,15.825173,-3.162357,12.978049,-0.5451294,17.77699,1891.6535769833245,1488.572799840921,2725.15368852459,2043.5440866581503,886.9282804968944,593.475334855269,0.20423764088114754,0.1617879105913849,0.07724965,0.29109228,0.19061776,0.2113923,0.281734,0.4293042,0.5619301,0.34313866,0.20623583,0.154131,0.1630973,0.053722646,2141.4114,1145.3025,0.10573063,0.10443969,28.616802514850598,12.237772741151247,1.948625,45.73170731707317,0.0016231783,OAF_bean_neutral.wav,1,depressed
-375.96765,90.096,63.901566,87.145325,17.810274,44.522682,12.866574,51.89156,4.878602,38.047028,-7.1056433,35.140636,-11.104479,36.798363,-16.527805,23.86463,-15.512413,21.1149,-11.480594,15.978789,-12.047974,17.384516,-11.10888,11.138539,0.2551947,13.036925,1090.0556645680917,1313.6070633882885,1756.161971830986,1901.7512482585103,826.4167889747051,606.2337339567342,0.08934859154929578,0.12949329150274105,0.18608709,0.18937251,0.19791424,0.23602583,0.2735419,0.3223826,0.18935864,0.18079366,0.31215766,0.39195815,0.2616091,0.19124268,1611.7427,1407.7201,0.110261045,0.097286746,25.85619645856139,10.504192115814353,2.26875,36.05769230769231,0.08942967,OAF_bean_sad.wav,1,depressed
